_id,user_name,option,score,review
658b8783a612b42ddd93baac,문쪼꼬쪼꼬,"상품선택:[2개] 탑클라스 직사각,색상선택:2L(LBG455B)",5,김치 담으려고 주문했어요. 견고하고 튼튼하네요! 용량이 크고 유리이니 무게는 무거울 수 밖에 없지요! 마음에 드는 상품입니다.
658b8783a612b42ddd93baad,여성,"상품선택:[2개] 칸칸이 밀폐유리용기,색상선택:2칸 600ML 1개+860ML 1개(95845)",5,생각외로 크기는 큰 편이에요\n유리라서 묵직하고요\n근데 두개 잘 나뉘어져 있어서 옆으로 셀일은 없을 것 같아요\n어디 가지고 다니기엔 600ml가 좋고\n집에서 반찬 나눠담는용으로는 860ml가 좋아보여요\n옆에 똑딱이 부분 떼서 세척할 수 있는것도 좋아요~
658b8784a612b42ddd93baae,상희맘,"상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,유리라서 아주 좋아요\n너무더워서 요리하기 힘들어서 렌지에 해먹으려고 주문했어요\n큰사이즈는 양배추쩌먹고 중간사이즈는 \n만두도 쩌먹으면 좋을것같아요.\n활용잘해 보겠습니다.
658b8784a612b42ddd93baaf,gogo********,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,너무 무겁지도 않구 재질이 참 좋네요~ 색상도 정말 마음에 듭니다! 간단히 사용하기에 적당할 것 같아요! 
658b8784a612b42ddd93bab0,ddoo****,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,간단하게 전자렌지 사용으로 찜하거나 데칠때 사용하려고 구매했는데 무게감도 있고 세척도 간편해서 자주 사용할것같아요
658b8784a612b42ddd93bab1,gogo********,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,너무 무겁지도 않구 재질이 참 좋네요~ 색상도 정말 마음에 듭니다! 간단히 사용하기에 적당할 것 같아요! 
658b8784a612b42ddd93bab2,Aaa00,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,작은 사이즈 2개 이미 사용하고 있는데 \n너무 편해서 다른 사이즈 추가로 주문했어요 \n\n오븐도 사용 가능해서 두루두루 잘 쓰이네요
658b8784a612b42ddd93bab3,비다니공주,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,잘 삿어요.1리터 구매했음 너무 작을뻔 조금 아쉽다묜 채번이 좀더 튼튼했음 하눈데 가격대비 만족해야겠다 합니다.
658b8784a612b42ddd93bab4,w805****************,"선택 옵션 상품선택:★BEST★더워요 요리보단 바로한끼 밥용기,색상선택:[1세트] 355ml 3P(LLG503S3)",5,햇반용으로 구매했는데 1인용으로 양도 적당하고 유리라 전자렌지로 덥힐때도 좋아요.\n쓰기에 좋아서 여러번 구입합니다
658b8784a612b42ddd93bab5,나의별,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L(LLG484)",4,계란찜용으로 샀는데 커서 활용도는 떨어짐.뚜껑 컬러가 별로라서 싼티남
